roc_auc,pr_ap,optimal_threshold,optimal_f1,accuracy,precision,recall,f1,balanced_accuracy,mcc,feature
0.9829978882391163,0.9727484656522921,0.43,0.919060047219628,0.9436363636363636,0.9119170984455959,0.9263157894736842,0.9190600522193212,0.939546783625731,0.8758916585804825,iptm_A
0.9838961988304094,0.9728026103815535,0.65,0.9120409856098237,0.9375757575757576,0.8885191347753744,0.9368421052631579,0.9120409906063194,0.9374025341130605,0.8644415153139517,iptm_H
0.9854077322936973,0.9751650207666112,0.66,0.9310954013606738,0.9527272727272728,0.9377224199288257,0.9245614035087719,0.931095406360424,0.9460769980506822,0.8951720736594605,iptm_L
0.8146556205328135,0.7554795372457672,0.84,0.6760354980815185,0.7345454545454545,0.5843989769820972,0.8017543859649123,0.6760355029585798,0.7504142300194931,0.47695243083046457,ptm_A
0.8094241390513321,0.7912952789827561,0.9,0.7181069910341412,0.833939393939394,0.8681592039800995,0.612280701754386,0.7181069958847737,0.7816033138401559,0.623873793790219,ptm_H
0.7271012020792722,0.5547466080990553,0.88,0.6102598220713619,0.6454545454545455,0.49194414607948445,0.8035087719298246,0.6102598267821452,0.6827729044834308,0.35055149930151247,ptm_L
0.9817625081221573,0.9709220369387752,0.41,0.9058524123082701,0.9327272727272727,0.8768472906403941,0.9368421052631579,0.905852417302799,0.9336988304093568,0.8547390408211376,chain_pair_iptm_AH
0.9834519168291098,0.9735748777156236,0.43,0.9294532577867362,0.9515151515151515,0.9343971631205674,0.9245614035087719,0.9294532627865961,0.9451510721247564,0.8925493957598317,chain_pair_iptm_AL
0.8264506172839505,0.7824371500766911,0.9,0.7191489313965594,0.84,0.9135135135135135,0.5929824561403508,0.7191489361702128,0.7816764132553606,0.6422793162546258,chain_pair_iptm_HL
0.021308479532163742,0.19905666050193624,0.98,0.513513509696859,0.34545454545454546,0.34545454545454546,1.0,0.5135135135135135,0.5,0.0,chain_pair_pae_min_AH
