feature,mean_importance,std_importance
mpdockq_AH,8749.443480277523,8126.157652680106
total_contacts,2656.499280440829,2148.3115635396425
contacts_AH,2421.725488123964,1874.7679524287983
contacts_AL,1386.2376668633879,1172.6570897247057
interface_plddt_AH,1285.9132152843852,982.1116079448916
interface_plddt_AL,1162.03566810145,922.8629958803011
iptm_L,801.7521519905534,591.7688814610772
pdockq_HL,753.202478297532,617.7653832948115
ptm_H,734.3150386168592,642.0249055335307
chain_plddt_L,729.5439857175348,560.5070738413716
contacts_HL,718.7392948018876,597.3007151181037
chain_pae_A,645.519175176999,554.333572913706
chain_pair_pae_min_AL,584.1534049220569,507.7648029525875
pdockq,558.398917795038,645.2116197653066
query_avg_RMSD,532.5068554724797,490.5695591438013
avg_internal_pae,522.7815473845928,489.44921310492987
LIS_HL,518.2195689804005,475.7654824712159
iptm_H,497.97395560879875,363.6171144614439
fraction_disordered,492.7364070229595,851.8805809219589
chain_pair_iptm_HL,489.9428532289738,373.8388945941992
model_avg_RMSD,462.1743070359012,443.7015679636089
chain_pair_pae_min_AH,461.9772986668931,428.57454409832684
pTM,454.51145083251794,395.16845304308606
ipTM,447.938480175272,347.85716609239233
pdockq_AH,445.77915734048645,381.57208487658704
scaled_model_RMSD,405.05135526409583,471.2148409307098
ptm_A,404.9314466546038,346.7886398844194
chain_pae_H,404.9049278347885,347.06565695261884
pdockq_AL,378.83403315774643,323.22303503876907
avg_interface_plddt,372.65959691479037,279.0071313397458
ranking_confidence,322.1890862368094,247.38020359610874
pdockq2,319.1687329583722,363.404728557694
scaled_query_RMSD,306.2814115026072,367.4844977792785
chain_pair_iptm_AL,302.5790596317075,222.14751454783573
mpdockq_HL,300.88495085163584,361.2267207061098
avg_pair_pae,295.4268182381742,236.71608964556796
interface_pae_AH,288.8262569438577,229.16303435689193
chain_pair_pae_AL,277.85317992553433,230.1361222746334
chain_pair_iptm_AH,270.0708780076565,204.28909929678758
pdockq2_AH,262.6292077340409,381.9194163556941
interface_plddt_HL,259.9766762411123,224.0161713711943
interface_pae_HL,259.02227542386566,221.62637334882785
chain_pair_pae_HL,250.07891366114134,205.4317547117253
chain_plddt_A,249.15248645622577,271.1842524237921
chain_pair_pae_AH,230.17213794656772,192.69525845915598
chain_pair_pae_min_HL,224.16122595782963,432.37510765903664
iptm_A,221.76632635432813,165.70287315798356
del_G_B,214.27909030334138,245.11488233275924
pdockq2_HL,206.81028559744507,193.65639317933048
ptm_L,200.67124187913518,185.6178443920069
avg_model_plddt,191.42887551773717,195.39856591751285
avg_interface_pae,171.56903678890185,136.58467327264955
LIS_AH,165.2733765215505,139.97531585234688
scaled_RMSD_ratio,153.42168494439943,168.346071669063
pdockq2_AL,137.58958571927488,126.92986387310536
avg_LIS,132.52716716759033,105.96831148253376
chain_plddt_H,122.93117610179542,101.329388019258
interface_pae_AL,115.74866168436292,89.92516890626203
LIS_AL,114.86212101230079,93.15250072654155
mpdockq,108.65634130028359,87.8912877987776
chain_pae_L,95.92652041422107,76.76242774938314
mpdockq_AL,58.33538364692873,69.29021846123219
has_clash,0.0,0.0
