pred_score_col,Top-1 Accuracy,Mean Rank Difference,Median Rank Difference,MRR,Top-1 Recall,Top-3 Recall,Top-5 Recall,Top-10 Recall
model_avg_RMSD,0.410958904109589,11.36986301369863,2.0,0.49896398279042803,0.410958904109589,0.5205479452054794,0.5616438356164384,0.6712328767123288
chain_pair_pae_min_AH,0.273972602739726,12.602739726027398,7.0,0.36865468954772806,0.273972602739726,0.3698630136986301,0.4383561643835616,0.6027397260273972
avg_interface_pae,0.2465753424657534,13.41095890410959,6.0,0.3516586991872627,0.2465753424657534,0.3561643835616438,0.4657534246575342,0.589041095890411
chain_pair_pae_AL,0.2328767123287671,14.712328767123287,9.0,0.3245513473832009,0.2328767123287671,0.3013698630136986,0.4246575342465753,0.5068493150684932
avg_pair_pae,0.2328767123287671,14.945205479452055,8.0,0.32679912453049886,0.2328767123287671,0.3287671232876712,0.3972602739726027,0.5342465753424658
chain_pair_pae_AH,0.2328767123287671,13.780821917808218,7.0,0.34384654927151814,0.2328767123287671,0.3561643835616438,0.4383561643835616,0.5753424657534246
interface_pae_AH,0.2191780821917808,14.26027397260274,6.0,0.3255912299420724,0.2191780821917808,0.3424657534246575,0.4246575342465753,0.5753424657534246
interface_pae_AL,0.2054794520547945,14.643835616438356,7.0,0.31209387045551396,0.2054794520547945,0.3287671232876712,0.3972602739726027,0.589041095890411
chain_pair_pae_min_AL,0.1506849315068493,14.73972602739726,9.0,0.2628800156140168,0.1506849315068493,0.273972602739726,0.3561643835616438,0.5205479452054794
avg_interface_plddt,0.0958904109589041,22.71232876712329,22.0,0.15893965110150085,0.0958904109589041,0.1232876712328767,0.1506849315068493,0.273972602739726
ptm_L,0.0821917808219178,22.123287671232877,20.0,0.15895743064977344,0.0821917808219178,0.136986301369863,0.2054794520547945,0.3150684931506849
chain_plddt_L,0.0821917808219178,19.643835616438356,17.0,0.16168767701837763,0.0821917808219178,0.1232876712328767,0.2191780821917808,0.3150684931506849
