PDB_ID	PDB_File	total_RMSD	comparison_count	avg_RMSD	rank_in_group	normalized_RMSD	z_score	group_total_RMSD	pct_of_group_total	excluded_rmsd_ratio	excluded_rank
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-8_sample-1/PDBs/model.pdb	3782.856427	49	77.20115157142857	1.0	1.0	2.669442074583833	68198.37140238	5.546842760629303	0.889063144787414	50.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-1_sample-4/PDBs/model.pdb	3498.779682999999	49	71.40366699999997	2.0	0.9035764816712477	2.35594012671735	68198.37140238	5.130297998403372	0.8973940400319325	49.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-3_sample-1/PDBs/model.pdb	3336.952541	49	68.10107226530613	3.0	0.8486478656465355	2.1773506247387395	68198.37140238	4.893009132595719	0.9021398173480857	48.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-3_sample-2/PDBs/model.pdb	3218.5296439999997	49	65.68427844897958	4.0	0.8084518530527575	2.046661261157848	68198.37140238	4.719364374568744	0.9056127125086252	47.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-8_sample-0/PDBs/model.pdb	3205.5834720000003	49	65.42007085714286	5.0	0.8040575635535471	2.0323741002932674	68198.37140238	4.700381264365693	0.9059923747126862	46.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-3_sample-0/PDBs/model.pdb	3084.1766579999994	49	62.942380775510195	6.0	0.7628487268493203	1.8983917399728327	68198.37140238	4.522361156988519	0.9095527768602296	45.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-8_sample-4/PDBs/model.pdb	3008.1655949999995	49	61.391134591836725	7.0	0.7370484658945959	1.8145073079902492	68198.37140238	4.41090532389901	0.9117818935220198	44.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-8_sample-3/PDBs/model.pdb	2926.209754000001	49	59.718566408163284	8.0	0.7092303825642277	1.7240623267124604	68198.37140238	4.290732599368027	0.9141853480126395	43.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-3_sample-4/PDBs/model.pdb	2004.3422207000006	49	40.90494327959185	9.0	0.3963229979532792	0.7067060190647695	68198.37140238	2.938988394420886	0.9412202321115822	42.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-8_sample-2/PDBs/model.pdb	1957.9301953000002	49	39.95775908775511	10.0	0.3805694705127104	0.6554865487116147	68198.37140238	2.8709339461318457	0.9425813210773631	41.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-1_sample-0/PDBs/model.pdb	1894.8919604	49	38.671264497959186	11.0	0.35917254687614425	0.5859186947826256	68198.37140238	2.77850030936937	0.9444299938126126	40.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-3_sample-3/PDBs/model.pdb	1894.4253009999995	49	38.66174083673469	12.0	0.35901414974522944	0.5854036979235714	68198.37140238	2.7778160417095936	0.9444436791658082	39.0
7q0i	/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7q0i_7q0i/seed-1_sample-2/PDBs/model.pdb	1857.6325112000002	49	37.91086757551021	13.0	0.3465256574044197	0.5447998417003326	68198.37140238	2.72386638126548	0.9455226723746903	38.0
