pred_score_col,Top-1 Accuracy,Mean Rank Difference,Median Rank Difference,MRR,Top-1 Recall,Top-3 Recall,Top-5 Recall,Top-10 Recall
model_avg_RMSD,0.410958904109589,11.67123287671233,3.0,0.48285574012050253,0.410958904109589,0.4794520547945205,0.5342465753424658,0.6712328767123288
chain_pair_pae_min_AH,0.2465753424657534,12.36986301369863,6.0,0.3566187137361799,0.2465753424657534,0.3835616438356164,0.4520547945205479,0.6027397260273972
avg_interface_pae,0.2328767123287671,12.945205479452055,6.0,0.34593657626906893,0.2328767123287671,0.3835616438356164,0.4657534246575342,0.6027397260273972
chain_pair_pae_AH,0.2191780821917808,14.232876712328768,7.0,0.32917494338719616,0.2191780821917808,0.3561643835616438,0.4246575342465753,0.547945205479452
interface_pae_AH,0.2054794520547945,14.32876712328767,6.0,0.320763883854948,0.2054794520547945,0.3561643835616438,0.410958904109589,0.5616438356164384
interface_pae_AL,0.2054794520547945,14.835616438356164,7.0,0.30971708539927634,0.2054794520547945,0.3424657534246575,0.3972602739726027,0.5753424657534246
chain_pair_pae_AL,0.2054794520547945,14.657534246575343,9.0,0.311886938613746,0.2054794520547945,0.3287671232876712,0.4383561643835616,0.5068493150684932
avg_pair_pae,0.2054794520547945,14.863013698630137,8.0,0.3161458064936691,0.2054794520547945,0.3561643835616438,0.410958904109589,0.5205479452054794
chain_pair_pae_min_AL,0.136986301369863,14.452054794520548,9.0,0.2563893147420165,0.136986301369863,0.3013698630136986,0.3561643835616438,0.5068493150684932
ptm_L,0.0821917808219178,22.34246575342466,22.0,0.1593649365782259,0.0821917808219178,0.136986301369863,0.2191780821917808,0.3150684931506849
avg_interface_plddt,0.0684931506849315,22.383561643835616,20.0,0.14121891422435737,0.0684931506849315,0.1095890410958904,0.1643835616438356,0.273972602739726
chain_plddt_L,0.0684931506849315,18.972602739726028,17.0,0.15801886531439863,0.0684931506849315,0.1232876712328767,0.2328767123287671,0.3287671232876712
avg_LIS,0.0684931506849315,22.397260273972602,21.0,0.14226195648292328,0.0684931506849315,0.1232876712328767,0.1643835616438356,0.2465753424657534
LIS_HL,0.0547945205479452,23.041095890410958,21.0,0.12902204143210558,0.0547945205479452,0.0821917808219178,0.1506849315068493,0.273972602739726
