feature,mean_importance,std_importance
chain_pair_iptm_AL,0.028297182424514414,0.016928841813567425
scaled_model_RMSD,0.02229937278985181,0.021324122986423673
model_avg_RMSD,0.021232717278016917,0.01869430078356335
iptm_H,0.020173265750028993,0.01068052278546371
iptm_A,0.019509020598659114,0.010098271322321068
interface_pae_AH,0.01762106093679619,0.016615296955771436
chain_pair_iptm_AH,0.017120095906523875,0.009478032342171006
chain_pair_pae_min_AH,0.016276284989972252,0.010549918196207075
avg_interface_pae,0.016051250046373047,0.013672863507831742
iptm_L,0.015767450957278373,0.007782327977408369
query_avg_RMSD,0.015617459120802115,0.013542948814551503
chain_pair_pae_min_AL,0.014177757592710092,0.01016265823898288
chain_plddt_A,0.01404739759486097,0.01798369728426107
scaled_query_RMSD,0.013998276489115684,0.01423113876204773
avg_model_plddt,0.013682751592676415,0.00906283167367499
interface_plddt_AL,0.013029034887484645,0.017335544363791706
interface_plddt_AH,0.012193446072186916,0.013987472492919336
avg_interface_plddt,0.011847687816452684,0.013505859229230905
mpdockq,0.010176786223158095,0.01467742185602775
pdockq_HL,0.010136594650982763,0.0069328629324465615
pdockq2_AH,0.009477822369157837,0.010333882519553033
pdockq2,0.008938591908719658,0.010657410859693238
pdockq,0.008332079726455333,0.012921298440715734
scaled_RMSD_ratio,0.007928671070153362,0.00847608517660692
interface_plddt_HL,0.007315834910159318,0.004888695722137881
interface_pae_AL,0.007243198554719697,0.005001253945100692
mpdockq_HL,0.006856463193489006,0.004603242939997781
pdockq2_AL,0.006340048551995751,0.002632518003899783
LIS_AH,0.00599092526886947,0.004658094037124288
ipTM,0.005711276978212025,0.003181192835237038
LIS_AL,0.005239833271613094,0.003249302190058014
del_G_B,0.005092697181206569,0.004558942885600504
pdockq2_HL,0.004498744549690938,0.004438542992317398
pdockq_AL,0.004487982630190586,0.009907831022001594
avg_pair_pae,0.004254504060284592,0.00380483627380336
contacts_AL,0.004111117032271028,0.00769731877491902
chain_plddt_H,0.004034670330729913,0.003602890705066813
chain_pair_pae_AH,0.0038987183296858344,0.003454871647907105
chain_pae_A,0.0035912941639411667,0.0065237955746916265
avg_LIS,0.003274758275379588,0.0038618225887614055
ptm_A,0.0032715125206782903,0.004472224732830132
pdockq_AH,0.003217900284923074,0.0035728690974838454
chain_pair_pae_AL,0.0031246279376227525,0.0031478672855628333
ranking_confidence,0.003069476555269681,0.002089528211706385
mpdockq_AH,0.0030567444394900066,0.003978961992288146
chain_pair_pae_min_HL,0.003000933577198066,0.0026407408800224836
total_contacts,0.0024831394373639013,0.003983362970124242
mpdockq_AL,0.0021910719950795636,0.003636173125294502
pTM,0.002069403300580084,0.0018452472036534474
contacts_AH,0.0019117147671626428,0.003756652305040499
chain_plddt_L,0.0018237712558938936,0.0015409767053766764
contacts_HL,0.0017729576931044136,0.0018784332598247484
avg_internal_pae,0.0016659421093006839,0.0026378885568529046
chain_pair_pae_HL,0.0014835229492760843,0.002069527535564369
chain_pae_L,0.0014532519224302203,0.0019574109708122376
LIS_HL,0.0013889757065018214,0.0015077334379888661
interface_pae_HL,0.001290055408736561,0.001370479736742712
chain_pair_iptm_HL,0.001220642856958495,0.001032731382569942
chain_pae_H,0.0011736014190274647,0.0015689797287763796
fraction_disordered,0.0009309241498764062,0.0011169401819445752
ptm_H,0.0009146754861730774,0.0009320779880798961
ptm_L,0.00080679045699959,0.0014184929260977076
has_clash,0.0,0.0
