fpr,tpr
0.0,0.0
0.0,0.24035087719298245
0.0,0.4280701754385965
0.0,0.4842105263157895
0.0,0.5298245614035088
0.0,0.5403508771929825
0.0,0.5877192982456141
0.0,0.6052631578947368
0.0,0.6298245614035087
0.0,0.643859649122807
0.0,0.6508771929824562
0.0,0.6614035087719298
0.0,0.6701754385964912
0.0,0.6754385964912281
0.0,0.6824561403508772
0.0,0.6842105263157895
0.0,0.6877192982456141
0.0,0.7087719298245614
0.0,0.7280701754385965
0.0,0.7526315789473684
0.0,0.775438596491228
0.0,0.7964912280701755
0.0,0.8087719298245614
0.0,0.8245614035087719
0.0,0.8385964912280702
0.0,0.8543859649122807
0.0,0.8824561403508772
0.0,0.887719298245614
0.0,0.9
0.0,0.9070175438596492
0.0,0.9140350877192982
0.0,0.9192982456140351
0.0009276437847866419,0.9245614035087719
0.0027829313543599257,0.9280701754385965
0.0027829313543599257,0.9298245614035088
0.00463821892393321,0.9298245614035088
0.00463821892393321,0.9315789473684211
0.0055658627087198514,0.9315789473684211
0.011131725417439703,0.9315789473684211
0.013914656771799629,0.9315789473684211
0.01855287569573284,0.9315789473684211
0.021335807050092765,0.9315789473684211
0.02504638218923933,0.9315789473684211
0.027829313543599257,0.9315789473684211
0.03153988868274583,0.9333333333333333
0.03432282003710575,0.9333333333333333
0.03525046382189239,0.9350877192982456
0.03710575139146568,0.9350877192982456
0.03896103896103896,0.9368421052631579
0.04081632653061224,0.9368421052631579
0.041743970315398886,0.9368421052631579
0.04359925788497217,0.9403508771929825
0.045454545454545456,0.9421052631578948
0.05009276437847866,0.9438596491228071
0.05380333951762523,0.9438596491228071
0.06215213358070501,0.9438596491228071
0.06679035250463822,0.9473684210526315
0.075139146567718,0.9491228070175438
0.08441558441558442,0.9526315789473684
0.09925788497217068,0.9526315789473684
0.12430426716141002,0.956140350877193
0.14749536178107606,0.9578947368421052
0.17346938775510204,0.9596491228070175
0.18831168831168832,0.9666666666666667
0.2532467532467532,0.9719298245614035
0.3608534322820037,0.9789473684210527
0.46289424860853434,0.987719298245614
1.0,1.0
