iter	RMSE
0	0.2922474212
1	0.2811641894
2	0.2706860828
3	0.2608470723
4	0.2510877616
5	0.2420941043
6	0.234117573
7	0.2259439345
8	0.2183196298
9	0.2111713202
10	0.2043443857
11	0.1977802576
12	0.1908185803
13	0.1844447641
14	0.1789447331
15	0.1736322722
16	0.1685892042
17	0.163786688
18	0.1589840831
19	0.1549717187
20	0.1505649876
21	0.1466591526
22	0.1430643623
23	0.1396478347
24	0.1364600488
25	0.1328470755
26	0.1298030209
27	0.1265804066
28	0.1240897677
29	0.1214910128
30	0.1189497856
31	0.1167940978
32	0.1144572275
33	0.1121270495
34	0.1099518846
35	0.1075079638
36	0.105474877
37	0.1033072027
38	0.1017163918
39	0.09968741167
40	0.09787075164
41	0.09656059919
42	0.09534824847
43	0.09423424101
44	0.09295348613
45	0.09171578337
46	0.09070195827
47	0.08944024025
48	0.08850656551
49	0.08741058507
50	0.08622057144
51	0.08515364787
52	0.08441860243
53	0.08347161353
54	0.08262605205
55	0.08157137571
56	0.08069686528
57	0.07992821346
58	0.07907358508
59	0.07852029276
60	0.07781068506
61	0.07715007744
62	0.07672327199
63	0.07627621514
64	0.07557504767
65	0.07491113947
66	0.07424178226
67	0.07372653056
68	0.07295177936
69	0.07257229852
70	0.07214215707
71	0.07158863441
72	0.0711325904
73	0.07078541272
74	0.07029799683
75	0.06991658357
76	0.06939114609
77	0.06914404941
78	0.06873358509
79	0.06833873119
80	0.0678392976
81	0.06758004787
82	0.06730465636
83	0.06703573568
84	0.06668884469
85	0.06649909898
86	0.06613141891
87	0.06578109481
88	0.06532123215
89	0.064932444
90	0.06474251498
91	0.06418049592
92	0.06389600618
93	0.0635908133
94	0.06330410573
95	0.06309631612
96	0.06292232393
97	0.06261359505
98	0.06231398773
99	0.06217886931
100	0.06197608541
101	0.06161126092
102	0.06126607791
103	0.06110486707
104	0.06102294392
105	0.06072386487
106	0.06060835843
107	0.06040054353
108	0.06017165376
109	0.06004994501
110	0.05971815377
111	0.05952970154
112	0.05939823228
113	0.05927456485
114	0.05912791995
115	0.05885132589
116	0.05857233089
117	0.05824936657
118	0.05803902443
119	0.05796355044
120	0.05783400512
121	0.05773253755
122	0.05758144845
123	0.05741198173
124	0.05730442723
125	0.05700441344
126	0.05685509988
127	0.05660018932
128	0.05646248986
129	0.05636067795
130	0.05620515295
131	0.05601186716
132	0.05574515718
133	0.05560484797
134	0.05537301264
135	0.05518227952
136	0.0550411054
137	0.05491897025
138	0.05476878771
139	0.05461636292
140	0.05445598072
141	0.05421780592
142	0.0539012394
143	0.05361861648
144	0.05348258824
145	0.0533443611
146	0.05312574688
147	0.05301498007
148	0.05285545921
149	0.05261921796
150	0.05235772621
151	0.05227056323
152	0.05208704484
153	0.05195996483
154	0.05177100612
155	0.05162904375
156	0.05133618066
157	0.051155536
158	0.05091089567
159	0.05082609881
160	0.05068253378
161	0.05055843047
162	0.05048756992
163	0.05036527411
164	0.0502476585
165	0.05015642603
166	0.05004729141
167	0.04994636533
168	0.04977433281
169	0.04965535662
170	0.04950895105
171	0.04939969195
172	0.04916824335
173	0.04906491984
174	0.04891375224
175	0.04875453311
176	0.04867073166
177	0.04850995694
178	0.04845808854
179	0.0484021845
180	0.04831909824
181	0.04820834215
182	0.04811841798
183	0.04802548773
184	0.04788029392
185	0.04775884138
186	0.04764916831
187	0.04738779017
188	0.04720968877
189	0.04699078002
190	0.04689289996
191	0.04685564441
192	0.04679271376
193	0.04666058222
194	0.04648678644
195	0.04641089686
196	0.04633084802
197	0.04619423282
