iter	Passed	Remaining
0	50	50550
1	54	27254
2	58	19297
3	62	15555
4	67	13430
5	71	11879
6	76	10828
7	80	10023
8	86	9491
9	93	9293
10	99	8961
11	104	8630
12	111	8489
13	118	8310
14	122	8044
15	126	7770
16	130	7547
17	135	7409
18	144	7439
19	149	7344
20	156	7293
21	164	7290
22	169	7203
23	174	7082
24	177	6929
25	181	6806
26	186	6722
27	192	6680
28	198	6656
29	204	6610
30	211	6606
31	217	6579
32	223	6554
33	226	6446
34	231	6389
35	235	6317
36	239	6244
37	244	6186
38	248	6114
39	252	6051
40	256	5995
41	261	5975
42	268	5977
43	274	5960
44	278	5904
45	282	5865
46	286	5818
47	290	5770
48	295	5725
49	299	5682
50	304	5665
51	308	5618
52	312	5580
53	316	5545
54	320	5511
55	325	5488
56	329	5452
57	333	5422
58	337	5387
59	342	5365
60	346	5333
61	350	5302
62	356	5303
63	361	5282
64	365	5256
65	371	5257
66	380	5295
67	387	5309
68	396	5346
69	401	5330
70	405	5308
71	410	5285
72	414	5260
73	418	5240
74	423	5227
75	428	5204
76	433	5191
77	438	5179
78	442	5159
79	447	5143
80	451	5121
81	455	5100
82	459	5078
83	464	5061
84	468	5044
85	472	5026
86	477	5010
87	481	4991
88	486	4979
89	492	4974
90	496	4956
91	500	4940
92	504	4923
93	509	4913
94	515	4906
95	519	4891
96	524	4881
97	528	4866
98	533	4856
99	538	4843
100	542	4829
101	546	4815
102	552	4809
103	556	4793
104	560	4778
105	564	4764
106	569	4751
107	574	4742
108	578	4728
109	582	4716
110	587	4707
111	591	4693
112	596	4681
113	601	4677
114	607	4678
115	612	4671
116	617	4660
117	622	4649
118	626	4638
119	630	4625
120	635	4614
121	640	4606
122	645	4602
123	649	4591
124	654	4581
125	658	4570
126	667	4587
127	672	4583
128	678	4578
129	682	4570
130	687	4560
131	692	4555
132	698	4551
133	702	4542
134	707	4535
135	712	4524
136	717	4517
137	722	4512
138	727	4504
139	732	4498
140	737	4494
141	742	4487
142	747	4479
143	756	4498
144	766	4522
145	774	4531
146	782	4542
147	790	4551
148	799	4564
149	806	4569
150	811	4563
151	816	4553
152	821	4549
153	826	4539
154	831	4530
155	835	4519
156	840	4514
157	845	4505
158	850	4497
159	854	4488
160	859	4480
161	865	4477
162	871	4473
163	875	4464
164	880	4455
165	884	4445
166	890	4441
167	895	4435
168	900	4428
169	905	4422
170	910	4412
171	914	4402
172	919	4393
173	923	4384
174	929	4379
175	934	4372
176	939	4366
177	944	4361
178	949	4354
179	953	4343
180	957	4333
181	963	4328
182	967	4318
183	971	4310
184	976	4302
185	981	4295
186	986	4289
187	992	4287
188	997	4279
189	1002	4272
190	1006	4264
191	1011	4255
192	1015	4246
193	1020	4241
194	1025	4233
195	1029	4224
196	1034	4215
197	1039	4209
198	1043	4201
199	1048	4193
200	1052	4185
201	1057	4176
202	1062	4172
203	1066	4162
204	1071	4154
205	1075	4145
206	1080	4138
207	1084	4131
208	1089	4122
209	1093	4114
210	1098	4106
211	1102	4099
212	1107	4092
213	1112	4086
214	1117	4081
215	1122	4075
216	1126	4066
217	1131	4059
218	1135	4051
219	1141	4045
220	1145	4039
221	1150	4030
222	1155	4025
223	1160	4018
224	1164	4011
225	1168	4003
226	1173	3997
227	1178	3991
228	1183	3985
229	1188	3977
230	1193	3972
231	1197	3965
232	1203	3960
233	1207	3951
234	1211	3943
235	1216	3937
236	1220	3930
237	1225	3924
238	1230	3919
239	1235	3912
240	1241	3908
241	1245	3900
242	1250	3896
243	1255	3889
244	1259	3882
245	1264	3875
246	1268	3867
247	1273	3860
248	1277	3852
249	1282	3847
250	1286	3839
251	1292	3837
252	1297	3831
253	1301	3823
254	1306	3816
255	1311	3810
256	1315	3803
257	1319	3795
258	1324	3789
259	1328	3782
260	1333	3775
261	1337	3768
262	1342	3762
263	1346	3755
264	1351	3748
265	1356	3742
266	1360	3735
267	1365	3728
268	1369	3722
269	1373	3714
270	1378	3708
271	1384	3705
272	1388	3698
273	1393	3691
274	1397	3684
275	1402	3678
276	1407	3673
277	1412	3668
278	1417	3661
279	1422	3657
280	1427	3652
281	1432	3646
282	1437	3641
283	1441	3634
284	1446	3627
285	1450	3621
286	1454	3614
287	1459	3607
288	1463	3601
289	1468	3594
290	1473	3590
291	1477	3583
292	1482	3577
293	1487	3572
294	1492	3565
295	1497	3560
296	1501	3553
297	1506	3548
298	1510	3541
299	1515	3535
300	1519	3527
301	1524	3523
302	1530	3519
303	1534	3514
304	1539	3507
305	1543	3500
306	1548	3494
307	1552	3488
308	1556	3481
309	1561	3476
310	1566	3470
311	1570	3463
312	1574	3456
313	1579	3451
314	1584	3445
315	1589	3440
316	1593	3434
317	1598	3427
318	1603	3422
319	1608	3419
320	1613	3413
321	1617	3406
322	1622	3400
323	1627	3395
324	1633	3391
325	1638	3386
326	1643	3381
327	1646	3374
328	1651	3369
329	1655	3361
330	1659	3354
331	1663	3347
332	1667	3340
333	1672	3335
334	1679	3333
335	1684	3327
336	1688	3322
337	1693	3317
338	1698	3310
339	1702	3304
340	1706	3298
341	1711	3292
342	1715	3285
343	1719	3278
344	1722	3270
345	1726	3263
346	1730	3256
347	1734	3249
348	1738	3242
349	1742	3235
350	1746	3230
351	1751	3223
352	1755	3217
353	1759	3210
354	1763	3204
355	1768	3199
356	1773	3193
357	1777	3187
358	1782	3182
359	1787	3177
360	1791	3171
361	1796	3166
362	1800	3159
363	1805	3154
364	1809	3148
365	1814	3142
366	1818	3136
367	1823	3132
368	1828	3127
369	1833	3122
370	1838	3116
371	1842	3111
372	1847	3105
373	1851	3098
374	1856	3093
375	1860	3087
376	1864	3081
377	1869	3076
378	1874	3071
379	1879	3066
380	1883	3060
381	1887	3053
382	1892	3049
383	1897	3043
384	1901	3037
385	1906	3032
386	1910	3026
387	1915	3022
388	1920	3016
389	1925	3011
390	1929	3004
391	1933	2998
392	1938	2993
393	1943	2989
394	1947	2983
395	1952	2978
396	1957	2973
397	1961	2966
398	1966	2961
399	1971	2956
400	1975	2950
401	1980	2945
402	1984	2939
403	1988	2933
404	1992	2927
405	1997	2921
406	2001	2916
407	2006	2911
408	2011	2905
409	2015	2900
410	2019	2894
411	2024	2889
412	2029	2883
413	2033	2878
414	2037	2872
415	2042	2866
416	2046	2861
417	2051	2856
418	2056	2851
419	2061	2846
420	2065	2840
421	2069	2834
422	2073	2828
423	2079	2825
424	2084	2820
425	2089	2815
426	2093	2809
427	2099	2805
428	2104	2800
429	2108	2795
430	2113	2789
431	2117	2784
432	2121	2778
433	2127	2773
434	2132	2769
435	2136	2763
436	2141	2758
437	2144	2752
438	2149	2746
439	2153	2741
440	2158	2735
441	2162	2729
442	2165	2723
443	2170	2717
444	2174	2712
445	2178	2705
446	2182	2699
447	2187	2694
448	2191	2689
449	2196	2684
450	2200	2678
451	2204	2673
452	2209	2667
453	2213	2661
454	2216	2655
455	2220	2649
456	2225	2644
457	2230	2639
458	2234	2634
459	2239	2629
460	2244	2623
461	2249	2619
462	2253	2613
463	2257	2607
464	2262	2603
465	2266	2597
466	2271	2592
467	2275	2587
468	2280	2581
469	2285	2576
470	2289	2571
471	2294	2566
472	2298	2561
473	2303	2556
474	2307	2550
475	2311	2545
476	2316	2539
477	2321	2535
478	2326	2530
479	2331	2525
480	2336	2520
481	2340	2515
482	2345	2510
483	2350	2505
484	2354	2499
485	2358	2494
486	2362	2488
487	2367	2483
488	2371	2478
489	2375	2472
490	2380	2467
491	2385	2462
492	2389	2457
493	2394	2452
494	2399	2447
495	2403	2442
496	2408	2437
497	2412	2431
498	2416	2425
499	2421	2421
500	2427	2418
501	2434	2414
502	2441	2412
503	2446	2408
504	2452	2404
505	2457	2399
506	2463	2395
507	2469	2392
508	2475	2387
509	2482	2385
510	2486	2379
511	2491	2375
512	2497	2370
513	2502	2366
514	2506	2360
515	2511	2355
516	2515	2350
517	2521	2345
518	2525	2340
519	2529	2335
520	2534	2330
521	2538	2324
522	2543	2319
523	2549	2315
524	2554	2311
525	2557	2305
526	2562	2299
527	2566	2294
528	2569	2288
529	2574	2282
530	2578	2277
531	2582	2271
532	2586	2266
533	2590	2260
534	2593	2254
535	2597	2248
536	2601	2242
537	2604	2236
538	2609	2231
539	2612	2225
540	2616	2220
541	2621	2215
542	2625	2209
543	2629	2203
544	2634	2199
545	2638	2193
546	2642	2188
547	2646	2183
548	2650	2177
549	2654	2172
550	2659	2167
551	2664	2162
552	2668	2157
553	2672	2151
554	2676	2146
555	2681	2141
556	2686	2136
557	2691	2131
558	2695	2126
559	2700	2121
560	2704	2116
561	2709	2111
562	2714	2107
563	2719	2102
564	2724	2097
565	2728	2092
566	2733	2087
567	2738	2082
568	2742	2077
569	2747	2072
570	2751	2067
571	2756	2062
572	2761	2057
573	2765	2052
574	2770	2047
575	2774	2042
576	2779	2037
577	2783	2032
578	2788	2027
579	2793	2022
580	2797	2017
581	2802	2012
582	2807	2007
583	2811	2002
584	2816	1997
585	2821	1993
586	2827	1989
587	2832	1984
588	2836	1979
589	2840	1974
590	2845	1969
591	2850	1964
592	2854	1959
593	2859	1954
594	2864	1949
595	2868	1944
596	2873	1940
597	2878	1934
598	2882	1929
599	2887	1925
600	2892	1920
601	2896	1915
602	2902	1910
603	2906	1905
604	2911	1900
605	2916	1895
606	2920	1890
607	2925	1885
608	2930	1881
609	2934	1876
610	2939	1871
611	2943	1866
612	2949	1861
613	2953	1856
614	2957	1851
615	2962	1846
616	2967	1842
617	2972	1837
618	2977	1832
619	2982	1827
620	2986	1822
621	2991	1817
622	2995	1812
623	2999	1807
624	3003	1802
625	3008	1797
626	3012	1791
627	3016	1786
628	3021	1782
629	3026	1777
630	3031	1772
631	3035	1767
632	3041	1763
633	3045	1758
634	3049	1752
635	3054	1748
636	3058	1742
637	3062	1737
638	3066	1732
639	3071	1727
