r2,mse,rmse,mae,feature
-0.521036577246927,0.1403216560915467,0.37459532310420895,0.21994989938697443,fraction_disordered
-0.527312157810373,0.14090060328504062,0.3753672911763099,0.2205598278773676,has_clash
-0.34023748272189924,0.12364222264259989,0.3516279605529115,0.30320742150877183,ipTM
-1.8011732442953665,0.2584193401517693,0.508349623931964,0.45948712717417517,pTM
-0.563481033786579,0.14423732552556504,0.37978589432147825,0.3348060532162476,ranking_confidence
0.25509998413322454,0.06871998044796299,0.2621449607525634,0.18597110940270567,pdockq_AH
-0.11574641069337233,0.10293203100353604,0.32083022146228063,0.20147579614489325,pdockq_AL
-0.20879821435024914,0.11151642889820855,0.33394075656949773,0.31162318216062773,pdockq_HL
-0.3397686795525534,0.12359897369113637,0.35156645700512495,0.3173579874385196,pdockq
0.6453922375365384,0.03271397232396259,0.1808700426382506,0.09780481407507054,pdockq2_AH
0.5258357745510851,0.04374353014888465,0.20914954015939086,0.1142999276300078,pdockq2_AL
-0.27765550944510897,0.11786878743200764,0.34332024034712494,0.2947612037324431,pdockq2_HL
0.654867851287565,0.03183980937882518,0.1784371300453613,0.09635110590144103,pdockq2
-0.01841542561654852,0.09395286165330131,0.30651731052797215,0.2789411587615773,mpdockq_AH
-0.013555618838682282,0.09350452520593631,0.30578509644182517,0.27722990240548184,mpdockq_AL
-0.018613461833506983,0.0939711312796505,0.3065471110280612,0.27901123095640795,mpdockq_HL
-0.0186108809023533,0.09397089317851658,0.30654672266804056,0.2790109978566408,mpdockq
0.6391527778303603,0.03328958722513222,0.18245434285084097,0.11366872066833353,LIS_AH
0.6187035114069238,0.035176113146545375,0.18755296091116602,0.11663899404930667,LIS_AL
-1.6837872722935727,0.2475900187274144,0.49758418255347947,0.4418575501485042,LIS_HL
0.5428082997704278,0.04217774739095491,0.20537221669679398,0.1850696489379617,avg_LIS
-76909595.27163613,7095215.249656832,2663.6845251750124,2549.628755240616,contacts_AH
-54604.783108047144,5037.600037052273,70.97605256036907,70.06616993133693,interface_plddt_AH
-5164.069666422095,476.4981593883793,21.828837792891754,19.386869588982353,interface_pae_AH
-26768420.51810632,2469493.0382121173,1571.4620702429052,1418.9285152280836,contacts_AL
-189120982.28055364,17447160.688023895,4176.979852480006,4157.664919624178,contacts_HL
-79692.09120347169,7352.00369537886,85.7438259898569,85.57779506358536,interface_plddt_HL
-170.4795682336427,15.819670190943624,3.977394900049984,3.7076670627650823,interface_pae_HL
-725755454.2400821,66953818.81025602,8182.53132045677,8126.663275788561,total_contacts
-63742.52700793085,5880.593148561092,76.68502558232012,76.23145432987677,avg_interface_plddt
-2727.650890382306,251.72886540779092,15.86596563111716,14.207083790255597,avg_interface_pae
-17936.868898672994,1654.8395405261965,40.67971903204589,32.11975608139566,model_avg_RMSD
-16349.744877102718,1508.4210556186756,38.83839666642633,32.118751650233776,query_avg_RMSD
-1.1631011655756094,0.1995546605437412,0.44671541337157955,0.4039279832670269,scaled_RMSD_ratio
0.6043523520731062,0.036500064506216075,0.19104990056583665,0.14321551242353028,iptm_A
-0.9677054461708288,0.18152863056509008,0.42606176848561533,0.385285910585123,iptm_H
-0.9253368899611663,0.17761996323750454,0.421449834781679,0.3807602567120906,iptm_L
-3.6793036017374634,0.43168431356160986,0.6570268743069875,0.5897251146219563,ptm_A
-4.497573468305046,0.507172953693064,0.7121607639382165,0.6494374323966049,ptm_H
-4.628903744846537,0.519288692508904,0.7206168833082556,0.6555477437438041,ptm_L
0.5833347888077827,0.03843901806493794,0.19605871076016476,0.14634230074324284,chain_pair_iptm_AH
0.6214777027568495,0.03492018299314892,0.18686942765778708,0.14051461318514089,chain_pair_iptm_AL
-4.413484993695805,0.4994154584481189,0.7066933270154169,0.6446675693829064,chain_pair_iptm_HL
-2988.5253507835505,275.79556890663025,16.607093933215115,13.84482099404044,chain_pair_pae_min_AH
-3130.2112781601695,288.8666575785013,16.996077711592793,14.285697706369207,chain_pair_pae_min_AL
-13.595194650069159,1.3464645853442279,1.1603726062537962,1.012871196876601,chain_pair_pae_min_HL
-84576.42595361483,7802.602945454825,88.33234371086745,88.286616691651,chain_plddt_L
-74362.17070345998,6860.297392857438,82.826912249929,82.62317263730144,chain_plddt_A
-717.0899078709831,66.24664166687194,8.13920399467122,7.07916456393466,chain_pae_A
-81823.66393027535,7548.649732416342,86.88296572065403,86.75719310447914,chain_plddt_H
-5748.039857714258,530.3717253341315,23.029800809692894,21.181645389092154,chain_pair_pae_AH
-134.02110534007608,12.45623240890339,3.529338806193504,3.3326288286373877,chain_pae_H
-91.06769573396853,8.49361003619428,2.914379871635522,2.8575410213416874,chain_pae_L
-5796.008021867944,534.7969787004243,23.1256779079106,21.333928326937702,chain_pair_pae_AL
-3141.0366743909176,289.8653433101063,17.025432250316182,15.818174216606394,avg_pair_pae
-80089.38331109622,7388.655467813473,85.957288625302,85.8889941444772,avg_model_plddt
-281.77748202005085,26.087344102054054,5.107577126393106,4.938948933789323,chain_pair_pae_HL
-238.61951556263432,22.10585054861864,4.701685926199095,4.423111471304579,avg_internal_pae
-428051.30199317227,39489.52234810707,198.7197080012626,82.20949457169795,del_G_B
0.5393167470644172,0.042499856974226806,0.2061549343921382,0.13438395064683056,scaled_model_RMSD
0.5397923547810153,0.04245598027629509,0.20604849010923396,0.13057627108248232,scaled_query_RMSD
