r2,mse,rmse,mae,feature
0.654867851287565,0.03183980937882518,0.1784371300453613,0.09635110590144103,pdockq2
0.6453922375365384,0.03271397232396259,0.1808700426382506,0.09780481407507054,pdockq2_AH
0.6391527778303603,0.03328958722513222,0.18245434285084097,0.11366872066833353,LIS_AH
0.6214777027568495,0.03492018299314892,0.18686942765778708,0.14051461318514089,chain_pair_iptm_AL
0.6187035114069238,0.035176113146545375,0.18755296091116602,0.11663899404930667,LIS_AL
0.6043523520731062,0.036500064506216075,0.19104990056583665,0.14321551242353028,iptm_A
0.5833347888077827,0.03843901806493794,0.19605871076016476,0.14634230074324284,chain_pair_iptm_AH
0.5428082997704278,0.04217774739095491,0.20537221669679398,0.1850696489379617,avg_LIS
0.5397923547810153,0.04245598027629509,0.20604849010923396,0.13057627108248232,scaled_query_RMSD
0.5393167470644172,0.042499856974226806,0.2061549343921382,0.13438395064683056,scaled_model_RMSD
