roc_auc,pr_ap,optimal_threshold,optimal_f1,accuracy,precision,recall,f1,balanced_accuracy,mcc,feature
0.9838961988304094,0.9728026103815535,0.65,0.9120409856098237,0.9375757575757576,0.8885191347753744,0.9368421052631579,0.9120409906063194,0.9374025341130605,0.8644415153139517,iptm_H
0.9854077322936973,0.9751650207666112,0.66,0.9310954013606738,0.9527272727272728,0.9377224199288257,0.9245614035087719,0.931095406360424,0.9460769980506822,0.8951720736594605,iptm_L
0.04412768031189084,0.1992848838921805,0.5521169224780733,0.513513509696859,0.34545454545454546,0.34545454545454546,1.0,0.5135135135135135,0.5,0.0,model_avg_RMSD
0.9558723196881092,0.9373002974225074,0.3869000639178392,0.8597785927993219,0.9078787878787878,0.9066147859922179,0.8175438596491228,0.8597785977859779,0.8865497076023392,0.7938051737301275,scaled_model_RMSD
0.067498375568551,0.2008565480147578,-118.65649920064368,0.513513509696859,0.34545454545454546,0.34545454545454546,1.0,0.5135135135135135,0.5,0.0,del_G_B
0.9638823911630928,0.9240590088697725,0.1519732067547035,0.8736581287909277,0.9072727272727272,0.8252730109204368,0.9280701754385965,0.8736581337737407,0.9121832358674464,0.8042573299735049,pdockq_AH
0.9764717348927874,0.9652086808650019,0.0180563644396284,0.8936877026553239,0.9224242424242424,0.8485804416403786,0.9438596491228071,0.893687707641196,0.9274853801169591,0.8358129290625714,pdockq2_AH
0.9721604938271604,0.9560134624294503,0.0366137417011148,0.891625610784052,0.92,0.8379629629629629,0.9526315789473684,0.8916256157635468,0.9277046783625731,0.8329174066985988,LIS_AH
0.9817625081221573,0.9709220369387752,0.41,0.9058524123082701,0.9327272727272727,0.8768472906403941,0.9368421052631579,0.905852417302799,0.9336988304093568,0.8547390408211376,chain_pair_iptm_AH
0.9834519168291098,0.9735748777156236,0.43,0.9294532577867362,0.9515151515151515,0.9343971631205674,0.9245614035087719,0.9294532627865961,0.9451510721247564,0.8925493957598317,chain_pair_iptm_AL
