feature,mean_importance
chain_pair_iptm_AL,0.051484025748073516
iptm_L,0.04023502435826695
avg_model_plddt,0.02605967780781695
chain_pair_pae_min_AH,0.0224608628192689
query_avg_RMSD,0.0175977102337254
interface_plddt_AH,0.015909789066625435
iptm_A,0.013954646219333336
chain_plddt_A,0.01060343798571602
chain_pair_iptm_AH,0.010136821383633008
model_avg_RMSD,0.009012868431332945
interface_pae_AH,0.00780281573334074
pdockq,0.007014301549882107
interface_plddt_HL,0.006731886834167115
pdockq2_AH,0.0060573197817032
scaled_RMSD_ratio,0.005818223489707844
chain_pair_pae_min_AL,0.005591521494374842
scaled_model_RMSD,0.005266395616866435
iptm_H,0.003976856108536625
contacts_AL,0.003861617279608629
avg_interface_plddt,0.0036781679851174477
interface_plddt_AL,0.0035542428670229504
contacts_AH,0.002768966114785538
total_contacts,0.0027309818425921466
chain_pae_A,0.002495879694315916
LIS_AH,0.0022310173426576983
chain_plddt_H,0.0022221445137785307
scaled_query_RMSD,0.0022058814984300067
pdockq2,0.002176616235356206
avg_internal_pae,0.001971383939902258
ptm_A,0.0019011437677393158
pdockq2_HL,0.0018380707009941744
contacts_HL,0.0018282503937069705
LIS_HL,0.0018243203362690557
ipTM,0.0018086675837402622
pdockq_AH,0.0016630340714575934
pdockq2_AL,0.0016539916180285986
avg_pair_pae,0.0015240617787390905
pdockq_HL,0.0014827636733471792
chain_pair_pae_HL,0.0014050256368729568
pdockq_AL,0.001320612479357221
mpdockq_AH,0.0012862440442834339
mpdockq,0.001242014113837677
chain_pair_pae_min_HL,0.0012109734833236241
ranking_confidence,0.0012086037062247878
interface_pae_HL,0.0011169889915005422
ptm_H,0.0010878094743810068
chain_pair_pae_AH,0.0010869574607634553
chain_plddt_L,0.001044438060408201
mpdockq_HL,0.0010380599324900093
pTM,0.0009960808192053991
del_G_B,0.0009729198916693854
chain_pae_H,0.000932975031088034
chain_pair_pae_AL,0.000809434755870565
avg_interface_pae,0.0007370413647639916
chain_pae_L,0.0007357264352794913
avg_LIS,0.0006737071523347194
LIS_AL,0.000536082577824255
interface_pae_AL,0.0005289710438129726
mpdockq_AL,0.0003793041949486954
chain_pair_iptm_HL,0.0003339804151949211
ptm_L,0.00029036630769520776
fraction_disordered,0.00020209705985472755
has_clash,0.0
