rf_fpr,rf_tpr,logistic_fpr,logistic_tpr
0.0,0.0,0.0,0.0
0.0,0.214968152866242,0.0,0.001592356687898
0.0,0.3312101910828025,0.0,0.8375796178343949
0.0,0.3646496815286624,0.0009803921568627,0.8375796178343949
0.0,0.4490445859872611,0.0009803921568627,0.8455414012738853
0.0,0.5477707006369427,0.0019607843137254,0.8455414012738853
0.0,0.5589171974522293,0.0019607843137254,0.8471337579617835
0.0,0.5621019108280255,0.0058823529411764,0.8471337579617835
0.0,0.5859872611464968,0.0058823529411764,0.8503184713375797
0.0,0.5939490445859873,0.0088235294117647,0.8503184713375797
0.0,0.5955414012738853,0.0088235294117647,0.8519108280254777
0.0,0.5987261146496815,0.0147058823529411,0.8519108280254777
0.0,0.6003184713375797,0.0147058823529411,0.8535031847133758
0.0,0.606687898089172,0.0666666666666666,0.8535031847133758
0.0,0.6194267515923567,0.0666666666666666,0.8550955414012739
0.0,0.6353503184713376,0.0774509803921568,0.8550955414012739
0.0,0.643312101910828,0.0774509803921568,0.856687898089172
0.0,0.6544585987261147,0.0784313725490196,0.856687898089172
0.0,0.660828025477707,0.0784313725490196,0.85828025477707
0.0,0.6656050955414012,0.1147058823529411,0.85828025477707
0.0,0.6767515923566879,0.1147058823529411,0.8598726114649682
0.0,0.7022292993630573,0.1196078431372549,0.8598726114649682
0.0,0.7308917197452229,0.1196078431372549,0.8614649681528662
0.0,0.7468152866242038,0.1284313725490196,0.8614649681528662
0.0,0.7691082802547771,0.1284313725490196,0.8646496815286624
0.0019607843137254,0.7818471337579618,0.1303921568627451,0.8646496815286624
0.0019607843137254,0.7898089171974523,0.1303921568627451,0.8662420382165605
0.0019607843137254,0.7961783439490446,0.1392156862745098,0.8662420382165605
0.0039215686274509,0.8057324840764332,0.1392156862745098,0.8678343949044586
0.0049019607843137,0.8136942675159236,0.1509803921568627,0.8678343949044586
0.0049019607843137,0.8328025477707006,0.1509803921568627,0.8710191082802548
0.0049019607843137,0.8407643312101911,0.1627450980392157,0.8710191082802548
0.0049019607843137,0.8471337579617835,0.1627450980392157,0.8726114649681529
0.0058823529411764,0.8535031847133758,0.1656862745098039,0.8726114649681529
0.0068627450980392,0.856687898089172,0.1656862745098039,0.8742038216560509
