pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,interface_plddt_AL,interface_pae_AL,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-0/model.cif,7wrl_7r58,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-0/confidences.json,"[0.53, 0.75, 0.61]","[[0.8, 0.66, 0.4], [0.66, 0.77, 0.83], [0.4, 0.83, 0.84]]","[[0.76, 2.36, 6.96], [2.12, 0.76, 1.44], [6.28, 1.48, 0.76]]","[0.8, 0.77, 0.84]",0.0,0.0,0.61,0.66,0.62,custom,0.53,0.75,0.61,0.8,0.77,0.84,0.66,0.4,0.83,2.24,6.62,1.46,83.64877667140826,6.678379373848986,83.72881177707677,5.812424600052452,88.58689832689831,3.525503663003663,15.136092051327749,16.629018679294923,6.97812980030722,85.32149559179445,5.338769212301702,12.914413510309965,87.55142857142857,87.01375,3130.0,79.8129680511182,6.962990196078432,0.0,4301.0,87.19270285980005,4.8079343971631205,7431.0,83.50283545545912,5.885462296620776,,,0.17444106593632125,0.0,0.5096588933132278,0.5096588933132278,0.3872758364427689,0.0,0.5290282758212158,0.44809281809394097,"[[0.6134975511380005, 0.24653133382101927, 0.14257569473247614], [0.24157514904298713, 0.6000880009513616, 0.49409847992322214], [0.13650922031704948, 0.5270507452467478, 0.7251623774509804]]",0.2440532414320032,0.1395424575247628,0.5105746125849849,0.298056770513917,0.5030502815833721,0.5200283965595469,0.08869685331003016,0.2202589571095185,0.2110725861399983,28.236478514053726,36.41628386106492,0.6245257467397228,0.08308907647349188,0.0516663476847867,-13.95692155044162,1365.2808286773075,52.0,8.0,0.6346607745269212,-0.010222747772678514
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-1/model.cif,7wrl_7r58,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-1/confidences.json,"[0.55, 0.73, 0.63]","[[0.79, 0.65, 0.45], [0.65, 0.77, 0.82], [0.45, 0.82, 0.83]]","[[0.76, 2.58, 5.98], [2.15, 0.76, 1.57], [5.37, 1.61, 0.76]]","[0.79, 0.77, 0.83]",0.0,0.0,0.61,0.66,0.62,custom,0.55,0.73,0.63,0.79,0.77,0.83,0.65,0.45,0.82,2.365,5.675000000000001,1.59,83.23201991465149,6.834947820748925,83.30048370136697,5.937306582743247,87.8788416988417,3.674496336996337,15.180184013544824,15.531539068666138,7.171566820276498,84.80378177162005,5.482250246829504,12.627763300829153,87.91285714285713,86.13374999999999,2396.0,82.93565943238733,5.6068750000000005,25.0,4333.0,86.57404223401801,4.890408163265306,6754.0,81.6941672221351,5.988677721088436,75.5728,7.46875,0.13696877738454896,0.0,0.5052773516105142,0.5052773516105142,0.5082467091744179,0.0,0.47592787183210705,0.5857004083619717,"[[0.6092262555579853, 0.22974581382148432, 0.14862584621602504], [0.2316857544705646, 0.5923676680972819, 0.47274457846003903], [0.14489832970225128, 0.5077092743746202, 0.7130097741826761]]",0.23071578414602445,0.14676208795913814,0.4902269264173296,0.28923493284083074,0.47451638640422944,0.4687407387217637,0.07032649093764859,0.20460747626331938,0.1938067715207957,25.567907715910177,36.41628386106492,0.6698167018472444,0.09952230602130464,0.0516663476847867,-17.9153507134954,1121.5385397491025,43.0,3.0,0.6027835253492533,-0.01597390555789836
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-2/model.cif,7wrl_7r58,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-2/confidences.json,"[0.55, 0.74, 0.64]","[[0.79, 0.65, 0.45], [0.65, 0.77, 0.82], [0.45, 0.82, 0.83]]","[[0.76, 2.49, 5.73], [2.16, 0.76, 1.58], [5.27, 1.58, 0.76]]","[0.79, 0.77, 0.83]",0.0,0.0,0.62,0.67,0.63,custom,0.55,0.74,0.64,0.79,0.77,0.83,0.65,0.45,0.82,2.325,5.5,1.58,83.35374110953057,6.8031737262124,83.49411146161934,5.868089430894309,87.99697554697553,3.649075091575092,15.065431741222598,15.395295974743487,7.1118509984639005,84.94827603937516,5.4401127495606,12.524192904809995,88.2242857142857,86.4425,2403.0,83.15439866833125,5.015798611111112,60.0,4491.0,86.47933422400357,4.840285714285715,6954.0,82.0234387418894,6.047266203703704,76.43658333333333,8.285714285714286,0.1394320002223413,0.018862569137270975,0.5120261184047453,0.5098913976587923,0.5405851627732957,0.09183088762128987,0.4925215983764915,0.5699903910536981,"[[0.6097040011629176, 0.23572941888619853, 0.15833565945568737], [0.23827179176755447, 0.5908525176448297, 0.4726689764162412], [0.14915839657520918, 0.5102564610226763, 0.7153591016331158]]",0.2370006053268765,0.15374702801544826,0.4914627187194588,0.29407011735392785,0.4835748942573438,0.4837739040119565,0.07541514055088468,0.21353703345054992,0.19482173001052192,25.43962683801016,36.41628386106492,0.6720377329228244,0.10042747861060235,0.0516663476847867,-19.582606538328264,1134.7436465705593,45.0,4.0,0.7071184813430585,-0.017257295599328655
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-3/model.cif,7wrl_7r58,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-3/confidences.json,"[0.53, 0.74, 0.62]","[[0.8, 0.65, 0.41], [0.65, 0.78, 0.83], [0.41, 0.83, 0.84]]","[[0.76, 2.45, 5.99], [2.02, 0.76, 1.51], [5.47, 1.58, 0.76]]","[0.8, 0.78, 0.84]",0.0,0.0,0.61,0.65,0.61,custom,0.53,0.74,0.62,0.8,0.78,0.84,0.65,0.41,0.83,2.2350000000000003,5.73,1.545,83.96672830725461,6.477249846531614,83.63987381703468,5.766174927878311,87.6761776061776,3.5497619047619042,15.870891997861344,15.938542488818731,6.963467741935484,85.09425991015563,5.264395559723943,12.924300742871852,87.46142857142857,86.27499999999999,2281.0,82.51177992108725,5.181541218637993,478.0,4397.0,86.27997043438708,4.72131914893617,7156.0,82.02802417706884,6.383990931203222,77.29232217573221,9.249112426035502,0.1243225478054651,0.03101682162528163,0.4977210628140838,0.5114454452377539,0.5344132252058036,0.07742768229843398,0.5074045403043602,0.3798703526662847,"[[0.6150790398821825, 0.2568715846994536, 0.16071128703370519], [0.24562786983429824, 0.5998334400265548, 0.4881149288738616], [0.1352617079889807, 0.5184074484359339, 0.7232167478628551]]",0.2512497272668759,0.14798649751134296,0.5032611886548978,0.30083247114437217,0.500715011270455,0.5100087668711422,0.08536177871389276,0.20270291951550523,0.22194406864174412,27.694629728943088,36.41628386106492,0.6335681519067041,0.08608953745524447,0.0516663476847867,-20.5327082443996,1292.3710256254756,53.0,7.0,0.6547202685800727,-0.01588762656951573
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-4/model.cif,7wrl_7r58,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-1_sample-4/confidences.json,"[0.52, 0.72, 0.61]","[[0.79, 0.63, 0.41], [0.63, 0.76, 0.81], [0.41, 0.81, 0.83]]","[[0.76, 2.95, 7.13], [2.56, 0.76, 1.71], [6.48, 1.67, 0.76]]","[0.79, 0.76, 0.83]",0.0,0.0,0.59,0.65,0.61,custom,0.52,0.72,0.61,0.79,0.76,0.83,0.63,0.41,0.81,2.755,6.805,1.69,83.22903271692746,6.850555555555556,82.86217665615142,6.105612378704431,87.87368082368083,3.7183241758241756,15.542158260559615,16.505114443567482,7.39010752688172,84.6549633989199,5.558164036694721,13.145793410336273,87.35285714285715,85.87875,2494.0,81.8309202085004,6.586067708333334,0.0,4374.0,86.47461362597164,5.025755102040816,6868.0,84.15276691723602,5.805911405187075,,,0.14774238257308195,0.0,0.5107129930115619,0.5107129930115619,0.46541776651244937,0.0,0.4420253737854508,0.5463376276369335,"[[0.6061625514403293, 0.22362361423689253, 0.12267437044400265], [0.2193586992406735, 0.5880488391675689, 0.46113126802493254], [0.1270051866259146, 0.500654360195845, 0.7097367775939204]]",0.221491156738783,0.12483977853495862,0.48089281411038876,0.2757412497947101,0.45974332590978556,0.44414354413014884,0.0632945010758118,0.19628750174662685,0.1845615413077102,26.373239389692408,36.41628386106492,0.6559578587609582,0.094100301080905,0.0516663476847867,-16.322957679648084,1172.6794095461694,46.0,5.0,0.6215991634764435,-0.013919369221264933
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-0/model.cif,7wrl_7r58,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-0/confidences.json,"[0.59, 0.77, 0.67]","[[0.82, 0.69, 0.5], [0.69, 0.8, 0.84], [0.5, 0.84, 0.85]]","[[0.76, 2.08, 4.79], [1.87, 0.76, 1.39], [4.29, 1.44, 0.76]]","[0.82, 0.8, 0.85]",0.0,0.0,0.66,0.71,0.67,custom,0.59,0.77,0.67,0.82,0.8,0.85,0.69,0.5,0.84,1.975,4.54,1.415,83.04639402560456,5.981632903621853,84.98105152471084,5.177583267768162,88.87351351351352,3.4693681318681318,12.906215469613258,13.7197605893186,6.462315668202765,85.6336530212763,4.8761947677527155,11.029430575711542,89.2942857142857,86.6575,2824.0,79.80642528328612,5.608641975308641,56.0,4203.0,87.6324482512491,3.957169287696578,7083.0,81.51646974960698,5.4219370876684065,77.1105357142857,6.699999999999999,0.1354863282614226,0.018872197599373117,0.5128821976878573,0.5112404551255291,0.5365591375149936,0.17639381550679684,0.5910147634783177,0.5829161673523808,"[[0.6280672753988245, 0.29320787449087343, 0.21147303305625365], [0.28276203685357637, 0.6382182509329439, 0.518734000632784], [0.20420266378689705, 0.545864745301293, 0.7320863243143751]]",0.28798495567222493,0.20783784842157535,0.5322993729670384,0.34270739235361297,0.5171282962365891,0.5450423824961816,0.10193903118298704,0.2282764000244773,0.21482695128871737,25.36920940820207,36.41628386106492,0.673258417946162,0.1009294187154201,0.0516663476847867,-12.661852828306792,1370.6674189551907,58.0,5.0,0.6713605907671831,-0.00923772802446742
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-1/model.cif,7wrl_7r58,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-1/confidences.json,"[0.54, 0.74, 0.63]","[[0.8, 0.65, 0.43], [0.65, 0.78, 0.82], [0.43, 0.82, 0.84]]","[[0.76, 2.42, 5.61], [2.25, 0.76, 1.53], [5.26, 1.58, 0.76]]","[0.8, 0.78, 0.84]",0.0,0.0,0.61,0.66,0.62,custom,0.54,0.74,0.63,0.8,0.78,0.84,0.65,0.43,0.82,2.335,5.4350000000000005,1.5550000000000002,83.40703413940255,5.974892572130141,83.72480546792849,5.569145030159978,87.81966537966538,3.6017673992673997,14.924338353234718,15.174961852144174,6.8773732718894,84.98383499566548,5.04860166718584,12.325557825756098,88.02142857142857,85.78375,2326.0,82.29001074806536,5.533482142857143,183.0,4386.0,86.44492818057456,4.652326530612245,6895.0,81.97275742065774,6.146380668934241,77.18333333333332,8.253333333333332,0.11377682907152853,0.01885224693175841,0.5013847586902619,0.49872751792834796,0.5214501877579021,0.09976827379822542,0.5177783149798255,0.4979788566927031,"[[0.6112849842228015, 0.25287225138857183, 0.17048179229731755], [0.23513248906520193, 0.6122286124244348, 0.49109638948370216], [0.1515891472868217, 0.5172716967204471, 0.7192452656738372]]",0.24400237022688687,0.16103546979206962,0.5041840431020747,0.30307396104034373,0.4820372374229506,0.4864134618751946,0.08194633977972501,0.20184660349059594,0.20262051860487362,26.747394964435887,36.41628386106492,0.6495718813478343,0.09172586517295479,0.0516663476847867,-16.814730136013054,1187.943423108562,50.0,5.0,0.6361476157238289,-0.014154487334096225
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-2/model.cif,7wrl_7r58,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-2/confidences.json,"[0.56, 0.75, 0.64]","[[0.82, 0.67, 0.46], [0.67, 0.78, 0.83], [0.46, 0.83, 0.84]]","[[0.76, 2.23, 5.38], [2.1, 0.76, 1.51], [5.07, 1.58, 0.76]]","[0.82, 0.78, 0.84]",0.0,0.0,0.63,0.68,0.64,custom,0.56,0.75,0.64,0.82,0.78,0.84,0.67,0.46,0.83,2.165,5.225,1.545,84.9125533428165,5.289791282995703,83.73236593059939,5.578658536585365,87.89857142857143,3.6107692307692307,13.99788362145785,14.448834517232306,6.918771121351767,85.51449690066244,4.826406350116766,11.788496420013976,88.19571428571429,85.76875000000001,2333.0,82.0690248606944,5.205131964809383,228.0,4396.0,86.29590309372156,4.503734259661311,6957.0,81.93126984445445,5.809016014217504,77.42888157894737,7.718181818181819,0.11025671159566237,0.019804618213390354,0.4729806114264054,0.475467530219566,0.5594527374663318,0.11843378267616117,0.5295112957057854,0.5162420376391174,"[[0.6231516403747553, 0.2560474350719038, 0.18329457364341084], [0.24363592060960482, 0.6138996615428007, 0.4920958448424367], [0.1560036983145386, 0.5167365229998682, 0.7187917509346081]]",0.2498416778407543,0.16964913597897474,0.5044161839211524,0.3079689992469605,0.49080632942027247,0.4953128800687117,0.08274310645119984,0.20403728185791875,0.20853249175959315,25.799264685507325,36.41628386106492,0.6658201092854024,0.09791935820468284,0.0516663476847867,-8.62643982960617,1256.397757402922,48.0,4.0,0.6382252368666402,-0.006866010209567497
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-3/model.cif,7wrl_7r58,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-3/confidences.json,"[0.55, 0.74, 0.64]","[[0.8, 0.65, 0.45], [0.65, 0.79, 0.83], [0.45, 0.83, 0.84]]","[[0.76, 2.52, 5.87], [2.3, 0.76, 1.52], [5.4, 1.51, 0.76]]","[0.8, 0.79, 0.84]",0.0,0.0,0.62,0.68,0.64,custom,0.55,0.74,0.64,0.8,0.79,0.84,0.65,0.45,0.83,2.41,5.635,1.5150000000000001,81.79432432432434,6.488453038674033,84.09998948475288,5.481340152111198,88.3988030888031,3.529258241758242,14.35970192479059,15.009723756906077,6.7888364055299535,84.76437229929344,5.166350477514491,12.052754029075542,88.22,86.225,2398.0,82.16106338615512,5.565476190476191,10.0,4307.0,86.90946830740656,4.486197916666667,6715.0,80.42484389785388,6.019308035714286,72.204,8.00625,0.1281812225003517,0.0,0.49560945390059785,0.49560945390059785,0.5295733811107773,0.0,0.5155018011397808,0.6129203533606952,"[[0.6213212699555876, 0.24356353679116122, 0.16255706167318798], [0.23710538387755953, 0.6212440572378745, 0.4985794450335807], [0.1541254268680905, 0.5262339351888354, 0.7250337009803922]]",0.24033446033436037,0.15834124427063923,0.5124066901112081,0.3036941315720692,0.4861026448215141,0.4809427422179694,0.07400812703016625,0.21615902732569967,0.1907755878621035,25.321967264743645,36.41628386106492,0.674077943734777,0.10126819653060502,0.0516663476847867,-20.800753967088667,1107.8724720796467,44.0,6.0,0.5720209166380384,-0.018775404652886137
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-4/model.cif,7wrl_7r58,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_7r58/seed-2_sample-4/confidences.json,"[0.52, 0.73, 0.61]","[[0.8, 0.64, 0.4], [0.64, 0.79, 0.83], [0.4, 0.83, 0.84]]","[[0.76, 2.48, 5.98], [2.22, 0.76, 1.54], [5.68, 1.61, 0.76]]","[0.8, 0.79, 0.84]",0.0,0.0,0.59,0.65,0.6,custom,0.52,0.73,0.61,0.8,0.79,0.84,0.64,0.4,0.83,2.35,5.83,1.5750000000000002,81.36256045519204,6.533278084714549,84.3320084121977,5.339555468135326,88.06127413127413,3.4973534798534804,15.958198182142223,16.15372796632465,6.690798771121352,84.58528099955463,5.123395677567785,12.93424163986274,87.80857142857143,86.1575,2266.0,82.17103486319506,4.6161290322580655,535.0,4438.0,86.64961581793601,4.556367346938775,7239.0,82.06907359152967,6.0919976275644485,77.38657009345793,9.103496503496505,0.10037542452866029,0.031180427035302702,0.5013271879197051,0.5158937617564183,0.5112609919498948,0.08385933160428564,0.5388962996376468,0.40117971530032326,"[[0.6193879333188793, 0.2680942643643341, 0.16328253186924144], [0.24466734211415064, 0.6239820142202263, 0.5044193940471955], [0.14029373236598144, 0.5253679858861943, 0.7271702505666849]]",0.2563808032392424,0.15178813211761144,0.5148936899666949,0.30768754177451624,0.4950939773745196,0.5022462308280434,0.08408534512842271,0.20074860217568716,0.21741228352393357,29.06744793929111,36.41628386106492,0.6108280516461706,0.07877522528364049,0.0516663476847867,-16.772019033114873,1313.1924700499553,57.0,4.0,0.7014526568894606,-0.012771942739267189
