mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__max_iter,param_model__penalty,param_model__random_state,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02136405309041341,0.0014774169377172138,0.004173755645751953,0.0005228734515721607,0.003364104090993037,,2000,l1,42,liblinear,"{'model__C': 0.003364104090993037, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9578067245036646,0.9556759434501505,0.9524049085224124,0.9552958588254091,0.002221598855974566,13
0.018616358439127605,0.0014561781136058752,0.0036353270212809243,0.00046113158330480765,0.017449262299232764,,2000,l1,42,liblinear,"{'model__C': 0.017449262299232764, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9633766052307341,0.9627700788801808,0.9542102615373838,0.9601189818827662,0.004185427150119128,6
0.013932625452677408,0.000830682819150542,0.0036358038584391275,0.0004789865977406705,0.0012297772887209261,,2000,l1,42,liblinear,"{'model__C': 0.0012297772887209261, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9530148487812313,0.9511031793412679,0.9428416320136532,0.9489865533787175,0.004414647131918912,18
0.012328386306762695,0.0012399667355668378,0.0038743019104003906,0.0006338024188911156,0.000783351017321294,balanced,2000,l1,42,liblinear,"{'model__C': 0.000783351017321294, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,19
0.01896492640177409,0.002160750260025442,0.003379265467325846,0.00015497003863698458,0.009550348308436487,balanced,2000,l1,42,liblinear,"{'model__C': 0.009550348308436487, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9639196209686638,0.9610425902168254,0.9565409818318442,0.9605010643391111,0.0030365568862366706,5
0.013526439666748047,0.0010122760409444142,0.003436485926310221,0.0002437585873133716,0.0006591104177072338,balanced,2000,l2,42,liblinear,"{'model__C': 0.0006591104177072338, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.958022660586584,0.9546724757707012,0.9530417173460355,0.9552456179011068,0.0020734540936363515,14
0.018277088801066082,0.002188363276477863,0.003882249196370443,0.001126930323563339,0.027712421061119888,balanced,2000,l2,42,liblinear,"{'model__C': 0.027712421061119888, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9724649738971382,0.967165013273718,0.9652779988919526,0.9683026620209363,0.00304234952356736,2
0.016331275304158527,0.00033124869473307394,0.003602902094523112,6.138999350335874e-05,0.0013849660317632535,,2000,l1,42,liblinear,"{'model__C': 0.0013849660317632535, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9530148487812313,0.9512206739746212,0.9428416320136532,0.949025718256502,0.004433731145315526,17
0.017360369364420574,0.0015735036224003604,0.0037955443064371743,0.0006376692681942844,0.0024337371604853425,balanced,2000,l1,42,liblinear,"{'model__C': 0.0024337371604853425, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9550678293342818,0.9531164657614286,0.9454254838155037,0.9512032596370714,0.004162449201418431,15
0.01797970136006673,0.0004589374684461665,0.003241459528605143,0.00012074911829768411,0.004382069131629793,,2000,l1,42,liblinear,"{'model__C': 0.004382069131629793, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9605503829689941,0.9578130755649269,0.9558404921258589,0.95806798355326,0.0019312347519051564,10
0.016802151997884113,0.0016014550973836343,0.0030978520711263022,0.00021175814514300947,0.010034482430356909,balanced,2000,l2,42,liblinear,"{'model__C': 0.010034482430356909, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9669681303745856,0.9628780469216407,0.9599415409499914,0.9632625727487393,0.002881450424032337,3
0.01596864064534505,0.0010120116580186157,0.003186941146850586,1.5351638824467896e-05,0.0023018577652326,balanced,2000,l1,42,liblinear,"{'model__C': 0.0023018577652326, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9549503347009285,0.9526814180649587,0.9450704628963339,0.9509007385540738,0.004225405807664709,16
0.018236875534057617,0.0006189370498159344,0.003942330678304036,8.399924123600901e-05,0.004896989308908719,,2000,l2,42,liblinear,"{'model__C': 0.004896989308908719, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9615951325466484,0.958098873321732,0.9549425916845504,0.9582121991843103,0.00271707036392971,9
0.01761802037556966,0.0012346224957727448,0.00438698132832845,0.00042176654712587847,0.0015036153537841166,,2000,l2,42,liblinear,"{'model__C': 0.0015036153537841166, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9595691440039631,0.9565650920268776,0.953853648596155,0.9566626282089986,0.0023343602862863056,12
0.018537044525146484,0.0033946821685790036,0.003142754236857096,0.0002563073529307016,0.009175258847037964,,2000,l1,42,liblinear,"{'model__C': 0.009175258847037964, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9631924244541263,0.9611473827276538,0.9552546280081257,0.9598648117299686,0.003365104691547512,8
0.020725011825561523,0.0035492357610519953,0.003384828567504883,0.00036508437398397774,0.00983736739502343,,2000,l1,42,liblinear,"{'model__C': 0.00983736739502343, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9632622861280119,0.9614204783619342,0.9552482599198894,0.9599770081366118,0.003427230051092076,7
